age_band,num_people,max_vax,time_1,time_2,time_3,infection,infection_day
2,1,2,28,229,-1,0,-1
2,1,2,152,296,-1,0,-1
2,1,2,63,206,-1,0,-1
2,1,2,80,300,-1,1,325
2,1,2,48,235,-1,0,-1
2,1,2,70,254,-1,1,307
2,1,2,132,300,-1,1,335
2,1,2,126,324,-1,0,-1
2,1,2,148,234,-1,0,-1
2,1,2,10,262,-1,1,288
2,1,2,140,275,-1,0,-1
2,1,2,167,319,-1,0,-1
2,1,2,56,297,-1,1,319
2,1,2,78,219,-1,0,-1
2,1,2,138,278,-1,0,-1
2,1,2,57,218,-1,1,327
2,1,2,44,301,-1,0,-1
2,1,2,52,252,-1,0,-1
2,1,2,65,236,-1,0,-1
2,1,2,93,334,-1,0,-1
2,1,2,164,284,-1,0,-1
2,1,2,140,328,-1,0,-1
2,1,2,45,243,-1,1,320
2,1,2,152,332,-1,1,309
2,1,2,85,307,-1,0,-1
2,1,2,80,300,-1,1,299
2,1,2,171,242,-1,0,-1
2,1,2,26,208,-1,0,-1
2,1,2,56,235,-1,0,-1
2,1,2,83,218,-1,0,-1
2,1,2,46,294,-1,0,-1
2,1,2,39,259,-1,1,295
2,1,2,124,311,-1,0,-1
2,1,2,79,343,-1,0,-1
2,1,2,52,316,-1,0,-1
2,1,2,179,276,-1,0,-1
2,1,2,92,264,-1,0,-1
2,1,2,128,304,-1,1,303
2,1,2,62,355,-1,0,-1
2,1,2,113,200,-1,0,-1
2,1,2,74,266,-1,0,-1
2,1,2,146,265,-1,0,-1
2,1,2,47,248,-1,0,-1
2,1,2,42,354,-1,0,-1
2,1,2,58,223,-1,0,-1
2,1,2,88,329,-1,1,306
2,1,2,101,281,-1,1,301
2,1,2,83,291,-1,1,299
2,1,2,180,341,-1,0,-1
2,1,2,121,206,-1,1,338
2,1,2,56,243,-1,0,-1
2,1,2,181,264,-1,0,-1
2,1,2,41,262,-1,1,303
2,1,2,165,195,-1,0,-1
2,1,2,64,361,-1,1,293
2,1,2,62,279,-1,1,317
2,1,2,152,346,-1,0,-1
2,1,2,30,266,-1,0,-1
2,1,2,11,268,-1,0,-1
2,1,2,103,361,-1,0,-1
2,1,2,168,347,-1,0,-1
2,1,2,111,208,-1,0,-1
2,1,2,21,268,-1,0,-1
2,1,2,53,194,-1,0,-1
2,1,2,22,196,-1,0,-1
2,1,2,128,357,-1,1,301
2,1,2,83,266,-1,0,-1
2,1,2,66,237,-1,0,-1
2,1,2,124,301,-1,0,-1
2,1,2,47,199,-1,0,-1
2,1,2,47,223,-1,0,-1
2,1,2,129,226,-1,0,-1
2,1,2,153,217,-1,0,-1
2,1,2,107,288,-1,0,-1
2,1,2,30,314,-1,0,-1
2,1,2,67,333,-1,0,-1
2,1,2,143,304,-1,0,-1
2,1,2,12,246,-1,1,329
2,1,2,22,196,-1,0,-1
2,1,2,81,315,-1,0,-1
2,1,2,148,276,-1,1,314
2,1,2,140,215,-1,0,-1
2,1,2,141,221,-1,0,-1
2,1,2,109,194,-1,0,-1
2,1,2,49,327,-1,0,-1
2,1,2,78,344,-1,1,293
2,1,2,40,283,-1,1,304
2,1,2,66,204,-1,0,-1
2,1,2,176,357,-1,0,-1
2,1,2,25,216,-1,1,286
2,1,2,11,243,-1,0,-1
2,1,2,152,248,-1,1,303
2,1,2,41,289,-1,0,-1
2,1,2,18,292,-1,0,-1
2,1,2,142,301,-1,0,-1
2,1,2,43,279,-1,0,-1
2,1,2,76,298,-1,1,296
2,1,2,83,223,-1,0,-1
2,1,2,97,317,-1,0,-1
2,1,2,132,324,-1,0,-1
2,1,2,53,201,-1,0,-1
2,1,2,18,233,-1,0,-1
2,1,2,104,344,-1,1,315
2,1,2,158,326,-1,1,283
2,1,2,77,356,-1,1,313
2,1,2,77,213,-1,0,-1
2,1,2,131,309,-1,0,-1
2,1,2,102,196,-1,1,306
2,1,2,162,259,-1,0,-1
2,1,2,148,250,-1,0,-1
2,1,2,35,340,-1,0,-1
2,1,2,50,245,-1,0,-1
2,1,2,107,275,-1,0,-1
2,1,2,163,314,-1,0,-1
2,1,2,120,289,-1,0,-1
2,1,2,114,233,-1,0,-1
2,1,2,102,349,-1,0,-1
2,1,2,100,329,-1,1,297
2,1,2,68,250,-1,0,-1
2,1,2,167,278,-1,0,-1
2,1,2,67,341,-1,1,324
2,1,2,50,354,-1,0,-1
2,1,2,151,317,-1,0,-1
2,1,2,123,281,-1,0,-1
2,1,2,29,257,-1,0,-1
2,1,2,17,242,-1,0,-1
2,1,2,125,252,-1,0,-1
2,1,2,171,358,-1,0,-1
2,1,2,125,297,-1,0,-1
2,1,2,74,229,-1,0,-1
2,1,2,157,313,-1,1,307
2,1,2,138,276,-1,0,-1
2,1,2,96,360,-1,0,-1
2,1,2,62,298,-1,0,-1
2,1,2,13,204,-1,0,-1
2,1,2,176,268,-1,0,-1
2,1,2,98,306,-1,1,325
2,1,2,135,277,-1,0,-1
2,1,2,87,226,-1,0,-1
2,1,2,169,289,-1,1,287
2,1,2,135,353,-1,0,-1
2,1,2,126,256,-1,1,299
2,1,2,107,324,-1,0,-1
2,1,2,94,243,-1,0,-1
2,1,2,156,243,-1,0,-1
2,1,2,105,324,-1,0,-1
2,1,2,77,275,-1,0,-1
2,1,2,106,208,-1,1,316
2,1,2,11,269,-1,0,-1
2,1,2,47,227,-1,1,285
2,1,2,28,292,-1,0,-1
2,1,2,88,343,-1,0,-1
2,1,2,66,291,-1,0,-1
2,1,2,44,231,-1,1,304
2,1,2,78,233,-1,0,-1
2,1,2,136,302,-1,0,-1
2,1,2,106,334,-1,0,-1
2,1,2,73,276,-1,0,-1
2,1,2,145,321,-1,0,-1
2,1,2,82,199,-1,0,-1
2,1,2,35,250,-1,0,-1
2,1,2,170,203,-1,0,-1
2,1,2,21,215,-1,1,293
2,1,2,134,322,-1,0,-1
2,1,2,68,239,-1,0,-1
2,1,2,37,359,-1,1,292
2,1,2,99,266,-1,0,-1
2,1,2,46,344,-1,0,-1
2,1,2,177,205,-1,1,308
2,1,2,177,349,-1,1,315
2,1,2,11,347,-1,0,-1
2,1,2,34,246,-1,0,-1
2,1,2,62,273,-1,0,-1
2,1,2,37,284,-1,0,-1
2,1,2,17,202,-1,0,-1
2,1,2,165,223,-1,0,-1
2,1,2,124,316,-1,0,-1
2,1,2,138,198,-1,0,-1
2,1,2,138,198,-1,0,-1
2,1,2,107,301,-1,1,316
2,1,2,48,356,-1,0,-1
2,1,2,176,331,-1,0,-1
2,1,2,138,254,-1,0,-1
2,1,2,142,223,-1,0,-1
2,1,2,122,305,-1,0,-1
2,1,2,122,284,-1,0,-1
2,1,2,19,283,-1,1,285
2,1,2,49,305,-1,0,-1
2,1,2,26,231,-1,1,309
2,1,2,79,354,-1,0,-1
2,1,2,36,195,-1,0,-1
2,1,2,14,341,-1,0,-1
2,1,2,35,232,-1,0,-1
2,1,2,130,337,-1,0,-1
2,1,2,179,267,-1,0,-1
2,1,2,67,357,-1,0,-1
2,1,2,59,213,-1,1,303
2,1,2,85,209,-1,1,301
2,1,2,138,247,-1,0,-1
2,1,2,46,298,-1,1,332
2,1,2,126,193,-1,0,-1
2,1,2,74,337,-1,0,-1
2,1,2,92,296,-1,0,-1
2,1,2,32,291,-1,0,-1
2,1,2,137,303,-1,1,294
2,1,2,77,281,-1,1,309
2,1,2,21,209,-1,0,-1
2,1,2,99,200,-1,1,293
2,1,2,87,242,-1,0,-1
2,1,2,157,245,-1,0,-1
2,1,2,180,220,-1,0,-1
2,1,2,114,329,-1,1,287
2,1,2,168,305,-1,0,-1
2,1,2,137,266,-1,0,-1
2,1,2,66,288,-1,0,-1
2,1,2,109,347,-1,0,-1
2,1,2,170,209,-1,1,343
2,1,2,153,239,-1,0,-1
2,1,2,137,287,-1,0,-1
2,1,2,77,324,-1,0,-1
2,1,2,22,280,-1,1,333
2,1,2,23,280,-1,0,-1
2,1,2,123,259,-1,0,-1
2,1,2,75,301,-1,0,-1
2,1,2,59,247,-1,0,-1
2,1,2,176,213,-1,0,-1
2,1,2,28,245,-1,1,302
2,1,2,58,312,-1,0,-1
2,1,2,116,241,-1,0,-1
2,1,2,171,344,-1,0,-1
2,1,2,85,326,-1,0,-1
2,1,2,18,354,-1,0,-1
2,1,2,14,225,-1,1,306
2,1,2,65,210,-1,1,314
2,1,2,129,318,-1,1,305
2,1,2,173,259,-1,1,339
2,1,2,105,355,-1,0,-1
2,1,2,18,254,-1,0,-1
2,1,2,77,333,-1,0,-1
2,1,2,68,260,-1,1,313
2,1,2,60,311,-1,0,-1
2,1,2,121,193,-1,1,311
2,1,2,102,351,-1,1,311
2,1,2,126,300,-1,0,-1
2,1,2,82,349,-1,1,299
2,1,2,41,359,-1,0,-1
2,1,2,25,338,-1,0,-1
2,1,2,71,287,-1,0,-1
2,1,2,96,291,-1,0,-1
2,1,2,105,275,-1,0,-1
2,1,2,107,321,-1,0,-1
2,1,2,111,274,-1,1,288
2,1,2,36,361,-1,0,-1
2,1,2,163,349,-1,0,-1
2,1,2,37,315,-1,0,-1
2,1,2,55,324,-1,0,-1
2,1,2,32,335,-1,0,-1
2,1,2,33,301,-1,0,-1
2,1,2,70,287,-1,1,286
2,1,2,180,321,-1,1,286
2,1,2,41,338,-1,1,292
2,1,2,13,321,-1,0,-1
2,1,2,32,281,-1,1,294
2,1,2,79,336,-1,1,295
2,1,2,126,356,-1,0,-1
2,1,2,81,208,-1,0,-1
2,1,2,123,277,-1,0,-1
2,1,2,124,203,-1,0,-1
2,1,2,103,213,-1,0,-1
2,1,2,127,293,-1,1,294
2,1,2,175,360,-1,0,-1
2,1,2,134,342,-1,1,308
2,1,2,111,267,-1,0,-1
2,1,2,148,240,-1,0,-1
2,1,2,160,266,-1,1,303
2,1,2,140,192,-1,0,-1
2,1,2,116,340,-1,1,303
2,1,2,133,218,-1,0,-1
2,1,2,150,353,-1,0,-1
2,1,2,173,356,-1,0,-1
2,1,2,57,326,-1,0,-1
2,1,2,33,333,-1,0,-1
2,1,2,119,287,-1,0,-1
2,1,2,101,229,-1,0,-1
2,1,2,165,310,-1,0,-1
2,1,2,172,264,-1,0,-1
2,1,2,136,285,-1,1,312
2,1,2,64,249,-1,0,-1
2,1,2,64,239,-1,0,-1
2,1,2,177,265,-1,1,300
2,1,2,118,306,-1,1,287
2,1,2,39,202,-1,0,-1
2,1,2,173,320,-1,0,-1
2,1,2,169,338,-1,0,-1
2,1,2,56,341,-1,1,294
2,1,2,18,299,-1,1,326
2,1,2,49,234,-1,0,-1
2,1,2,74,335,-1,0,-1
2,1,2,125,254,-1,0,-1
2,1,2,19,287,-1,0,-1
2,1,2,171,202,-1,0,-1
2,1,2,55,272,-1,0,-1
2,1,2,129,333,-1,0,-1
2,1,2,181,296,-1,0,-1
2,1,2,118,214,-1,0,-1
2,1,2,54,296,-1,0,-1
2,1,2,178,256,-1,0,-1
2,1,2,35,289,-1,0,-1
2,1,2,29,361,-1,0,-1
2,1,2,96,231,-1,1,317
2,1,2,44,267,-1,1,296
2,1,2,22,273,-1,0,-1
2,1,2,149,226,-1,0,-1
2,1,2,174,202,-1,0,-1
2,1,2,97,349,-1,0,-1
2,1,2,159,363,-1,1,305
2,1,2,47,344,-1,0,-1
2,1,2,60,305,-1,1,295
2,1,2,102,211,-1,0,-1
2,1,2,19,335,-1,1,321
2,1,2,59,279,-1,0,-1
2,1,2,153,347,-1,0,-1
2,1,2,156,246,-1,1,297
2,1,2,141,208,-1,1,328
2,1,2,118,297,-1,0,-1
2,1,2,165,207,-1,0,-1
2,1,2,80,210,-1,0,-1
2,1,2,172,314,-1,0,-1
2,1,2,145,282,-1,0,-1
2,1,2,122,272,-1,0,-1
2,1,2,75,193,-1,0,-1
2,1,2,143,357,-1,0,-1
2,1,2,51,223,-1,0,-1
2,1,2,36,221,-1,1,299
2,1,2,107,331,-1,0,-1
2,1,2,77,286,-1,0,-1
2,1,2,153,327,-1,0,-1
2,1,2,102,267,-1,1,308
2,1,2,55,229,-1,0,-1
2,1,2,68,234,-1,0,-1
2,1,2,11,296,-1,0,-1
2,1,2,85,276,-1,0,-1
2,1,2,129,356,-1,0,-1
2,1,2,81,256,-1,0,-1
2,1,2,89,319,-1,0,-1
2,1,2,85,296,-1,0,-1
2,1,2,12,196,-1,0,-1
2,1,2,25,323,-1,0,-1
2,1,2,17,294,-1,0,-1
2,1,2,33,296,-1,0,-1
2,1,2,142,267,-1,0,-1
2,1,2,138,211,-1,1,328
2,1,2,173,207,-1,0,-1
2,1,2,117,318,-1,0,-1
2,1,2,120,354,-1,0,-1
2,1,2,181,224,-1,1,325
2,1,2,170,298,-1,0,-1
2,1,2,167,317,-1,0,-1
2,1,2,133,322,-1,0,-1
2,1,2,60,318,-1,0,-1
2,1,2,10,237,-1,0,-1
2,1,2,23,319,-1,0,-1
2,1,2,136,250,-1,1,298
2,1,2,52,301,-1,0,-1
2,1,2,37,228,-1,1,316
2,1,2,33,308,-1,1,292
2,1,2,68,195,-1,0,-1
2,1,2,55,347,-1,1,309
2,1,2,63,362,-1,0,-1
2,1,2,93,328,-1,0,-1
2,1,2,136,317,-1,0,-1
2,1,2,89,358,-1,1,271
2,1,2,151,253,-1,1,262
2,1,2,119,269,-1,0,-1
2,1,2,27,355,-1,0,-1
2,1,2,51,321,-1,0,-1
2,1,2,149,303,-1,0,-1
2,1,2,65,242,-1,0,-1
2,1,2,163,200,-1,1,294
2,1,2,102,300,-1,0,-1
2,1,2,42,308,-1,0,-1
2,1,2,15,355,-1,1,303
2,1,2,97,279,-1,1,300
2,1,2,63,257,-1,0,-1
2,1,2,147,216,-1,0,-1
2,1,2,71,192,-1,0,-1
2,1,2,178,361,-1,0,-1
2,1,2,73,199,-1,0,-1
2,1,2,116,304,-1,0,-1
2,1,2,42,299,-1,1,295
2,1,2,121,272,-1,0,-1
2,1,2,113,265,-1,0,-1
2,1,2,62,302,-1,0,-1
2,1,2,158,322,-1,0,-1
2,1,2,34,254,-1,0,-1
2,1,2,63,240,-1,0,-1
2,1,2,42,289,-1,0,-1
2,1,2,124,321,-1,0,-1
2,1,2,71,224,-1,0,-1
2,1,2,37,263,-1,1,281
2,1,2,141,275,-1,0,-1
2,1,2,180,352,-1,0,-1
2,1,2,157,249,-1,0,-1
2,1,2,30,316,-1,1,323
2,1,2,94,347,-1,0,-1
2,1,2,91,241,-1,0,-1
2,1,2,23,222,-1,1,301
2,1,2,64,350,-1,0,-1
2,1,2,68,246,-1,0,-1
2,1,2,95,297,-1,0,-1
2,1,2,92,194,-1,0,-1
2,1,2,106,236,-1,0,-1
2,1,2,147,288,-1,0,-1
2,1,2,41,335,-1,1,319
2,1,2,21,259,-1,0,-1
2,1,2,33,269,-1,0,-1
2,1,2,84,212,-1,0,-1
2,1,2,18,309,-1,1,300
2,1,2,115,253,-1,0,-1
2,1,2,38,237,-1,1,318
2,1,2,72,286,-1,0,-1
2,1,2,24,199,-1,1,288
2,1,2,140,246,-1,0,-1
2,1,2,144,303,-1,0,-1
2,1,2,119,226,-1,0,-1
2,1,2,116,219,-1,0,-1
2,1,2,51,200,-1,0,-1
2,1,2,139,211,-1,0,-1
2,1,2,52,207,-1,0,-1
2,1,2,108,275,-1,0,-1
2,1,2,151,207,-1,0,-1
2,1,2,160,296,-1,0,-1
2,1,2,156,192,-1,0,-1
2,1,2,96,206,-1,0,-1
2,1,2,140,327,-1,0,-1
2,1,2,172,336,-1,0,-1
2,1,2,74,256,-1,1,335
2,1,2,93,201,-1,0,-1
2,1,2,136,299,-1,0,-1
2,1,2,99,243,-1,0,-1
2,1,2,12,340,-1,0,-1
2,1,2,152,315,-1,0,-1
2,1,2,61,278,-1,1,294
2,1,2,67,229,-1,0,-1
2,1,2,123,225,-1,0,-1
2,1,2,26,331,-1,0,-1
2,1,2,14,326,-1,1,290
2,1,2,126,297,-1,0,-1
2,1,2,138,229,-1,0,-1
2,1,2,120,200,-1,1,292
2,1,2,27,195,-1,1,290
2,1,2,116,281,-1,0,-1
2,1,2,142,279,-1,1,293
2,1,2,170,244,-1,1,279
2,1,2,79,283,-1,0,-1
2,1,2,20,356,-1,0,-1
2,1,2,173,262,-1,0,-1
2,1,2,135,288,-1,0,-1
2,1,2,30,235,-1,0,-1
2,1,2,35,351,-1,0,-1
2,1,2,115,356,-1,1,274
2,1,2,147,360,-1,1,288
2,1,2,108,355,-1,0,-1
2,1,2,121,244,-1,0,-1
2,1,2,86,249,-1,1,308
2,1,2,96,221,-1,1,322
2,1,2,24,213,-1,0,-1
2,1,2,122,307,-1,0,-1
2,1,2,171,329,-1,0,-1
2,1,2,59,357,-1,0,-1
2,1,2,80,299,-1,1,317
2,1,2,117,249,-1,0,-1
2,1,2,22,354,-1,0,-1
2,1,2,111,205,-1,0,-1
2,1,2,74,280,-1,0,-1
2,1,2,86,230,-1,0,-1
2,1,2,136,260,-1,0,-1
2,1,2,90,243,-1,0,-1
2,1,2,132,276,-1,0,-1
2,1,2,60,262,-1,0,-1
2,1,2,13,210,-1,0,-1
2,1,2,68,280,-1,0,-1
2,1,2,165,333,-1,0,-1
2,1,2,91,295,-1,1,305
2,1,2,134,250,-1,0,-1
2,1,2,79,257,-1,0,-1
2,1,2,126,198,-1,0,-1
2,1,2,35,322,-1,0,-1
2,1,2,29,321,-1,0,-1
2,1,2,158,243,-1,0,-1
2,1,2,142,294,-1,0,-1
2,1,2,179,256,-1,1,281
2,1,2,111,318,-1,0,-1
2,1,2,132,251,-1,0,-1
2,1,2,26,289,-1,0,-1
2,1,2,110,244,-1,1,315
2,1,2,98,268,-1,0,-1
2,1,2,148,322,-1,0,-1
2,1,2,65,218,-1,0,-1
2,1,2,76,288,-1,0,-1
2,1,2,146,220,-1,0,-1
2,1,2,104,355,-1,1,310
2,1,2,19,319,-1,0,-1
2,1,2,104,319,-1,0,-1
2,1,2,153,327,-1,1,298
2,1,2,60,250,-1,1,298
2,1,2,14,243,-1,0,-1
2,1,2,97,220,-1,0,-1
2,1,2,136,195,-1,0,-1
