age_band,num_people,max_vax,time_1,time_2,time_3,infection,infection_day
2,1,2,76,336,-1,0,-1
2,1,2,69,276,-1,0,-1
2,1,2,101,353,-1,0,-1
2,1,2,141,338,-1,0,-1
2,1,2,56,276,-1,0,-1
2,1,2,115,305,-1,0,-1
2,1,2,142,255,-1,0,-1
2,1,2,109,352,-1,0,-1
2,1,2,52,328,-1,0,-1
2,1,2,70,287,-1,0,-1
2,1,2,150,345,-1,0,-1
2,1,2,137,318,-1,0,-1
2,1,2,152,264,-1,0,-1
2,1,2,139,306,-1,0,-1
2,1,2,54,238,-1,0,-1
2,1,2,152,332,-1,0,-1
2,1,2,108,281,-1,0,-1
2,1,2,95,285,-1,0,-1
2,1,2,169,254,-1,0,-1
2,1,2,116,261,-1,0,-1
2,1,2,68,265,-1,0,-1
2,1,2,105,244,-1,0,-1
2,1,2,159,246,-1,0,-1
2,1,2,173,272,-1,0,-1
2,1,2,72,267,-1,0,-1
2,1,2,77,302,-1,0,-1
2,1,2,54,268,-1,0,-1
2,1,2,106,284,-1,0,-1
2,1,2,116,276,-1,0,-1
2,1,2,143,284,-1,0,-1
2,1,2,79,296,-1,0,-1
2,1,2,115,356,-1,0,-1
2,1,2,149,293,-1,0,-1
2,1,2,132,320,-1,0,-1
2,1,2,173,296,-1,0,-1
2,1,2,157,360,-1,0,-1
2,1,2,76,275,-1,0,-1
2,1,2,158,322,-1,0,-1
2,1,2,69,308,-1,0,-1
2,1,2,92,282,-1,0,-1
2,1,2,137,291,-1,0,-1
2,1,2,165,232,-1,0,-1
2,1,2,93,296,-1,0,-1
2,1,2,77,271,-1,0,-1
2,1,2,120,319,-1,0,-1
2,1,2,147,334,-1,0,-1
2,1,2,171,333,-1,0,-1
2,1,2,124,298,-1,0,-1
2,1,2,115,287,-1,0,-1
2,1,2,145,246,-1,0,-1
2,1,2,83,319,-1,0,-1
2,1,2,79,307,-1,0,-1
2,1,2,142,350,-1,0,-1
2,1,2,81,350,-1,0,-1
2,1,2,137,229,-1,0,-1
2,1,2,113,230,-1,0,-1
2,1,2,119,242,-1,0,-1
2,1,2,112,280,-1,0,-1
2,1,2,50,323,-1,0,-1
2,1,2,151,236,-1,0,-1
2,1,2,59,267,-1,0,-1
2,1,2,146,361,-1,0,-1
2,1,2,126,245,-1,0,-1
2,1,2,104,316,-1,0,-1
2,1,2,102,278,-1,0,-1
2,1,2,63,319,-1,0,-1
2,1,2,56,359,-1,0,-1
2,1,2,166,357,-1,0,-1
2,1,2,53,344,-1,0,-1
2,1,2,107,361,-1,0,-1
2,1,2,52,266,-1,0,-1
2,1,2,55,336,-1,0,-1
2,1,2,60,342,-1,0,-1
2,1,2,100,322,-1,0,-1
2,1,2,151,240,-1,0,-1
2,1,2,143,254,-1,0,-1
2,1,2,66,355,-1,0,-1
2,1,2,108,334,-1,0,-1
2,1,2,101,298,-1,0,-1
2,1,2,91,303,-1,0,-1
2,1,2,132,259,-1,0,-1
2,1,2,159,333,-1,0,-1
2,1,2,75,279,-1,0,-1
2,1,2,68,316,-1,0,-1
2,1,2,51,274,-1,0,-1
2,1,2,62,336,-1,0,-1
2,1,2,156,360,-1,0,-1
2,1,2,70,230,-1,0,-1
2,1,2,66,238,-1,0,-1
2,1,2,165,260,-1,0,-1
2,1,2,162,235,-1,0,-1
2,1,2,50,342,-1,0,-1
2,1,2,58,294,-1,0,-1
2,1,2,107,240,-1,0,-1
2,1,2,112,256,-1,0,-1
2,1,2,57,250,-1,0,-1
2,1,2,148,254,-1,0,-1
2,1,2,161,259,-1,0,-1
2,1,2,49,343,-1,0,-1
2,1,2,78,275,-1,0,-1
2,1,2,109,342,-1,0,-1
2,1,2,70,278,-1,0,-1
2,1,2,49,243,-1,0,-1
2,1,2,142,241,-1,0,-1
2,1,2,160,324,-1,0,-1
2,1,2,170,253,-1,0,-1
2,1,2,94,346,-1,0,-1
2,1,2,122,246,-1,0,-1
2,1,2,95,300,-1,0,-1
2,1,2,108,279,-1,0,-1
2,1,2,60,346,-1,0,-1
2,1,2,119,355,-1,0,-1
2,1,2,111,267,-1,0,-1
2,1,2,169,280,-1,0,-1
