age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,3,79,245,-1,-1,0,-1
2,1,3,177,240,-1,-1,0,-1
2,1,2,174,243,-1,-1,0,-1
2,1,3,118,348,-1,-1,0,-1
2,1,2,60,251,-1,-1,0,-1
2,1,2,58,360,-1,-1,0,-1
2,1,3,114,355,-1,-1,0,-1
2,1,3,161,234,-1,-1,0,-1
2,1,3,131,247,-1,-1,0,-1
2,1,3,172,296,-1,-1,0,-1
2,1,3,177,314,-1,-1,0,-1
2,1,2,105,250,-1,-1,0,-1
2,1,3,136,337,-1,-1,0,-1
2,1,3,143,327,-1,-1,0,-1
2,1,3,151,245,-1,-1,0,-1
2,1,3,174,283,-1,-1,0,-1
2,1,3,133,251,-1,-1,0,-1
2,1,3,104,276,-1,-1,0,-1
2,1,3,128,259,-1,-1,0,-1
2,1,2,86,321,-1,-1,0,-1
2,1,3,173,297,-1,-1,0,-1
2,1,3,71,349,-1,-1,0,-1
2,1,3,54,326,-1,-1,0,-1
2,1,2,114,241,-1,-1,0,-1
2,1,2,80,246,-1,-1,0,-1
2,1,2,96,323,-1,-1,0,-1
2,1,2,143,337,-1,-1,0,-1
2,1,3,140,275,-1,-1,0,-1
2,1,3,163,312,-1,-1,0,-1
2,1,3,64,245,-1,-1,0,-1
2,1,3,141,288,-1,-1,0,-1
2,1,3,148,292,-1,-1,0,-1
2,1,3,144,326,-1,-1,0,-1
2,1,3,53,276,-1,-1,0,-1
2,1,3,67,260,-1,-1,0,-1
2,1,2,135,310,-1,-1,0,-1
2,1,3,89,280,-1,-1,0,-1
2,1,3,87,361,-1,-1,0,-1
2,1,3,86,287,-1,-1,0,-1
2,1,3,158,278,-1,-1,0,-1
2,1,3,122,310,-1,-1,0,-1
2,1,3,52,315,-1,-1,0,-1
2,1,3,137,331,-1,-1,0,-1
2,1,3,126,349,-1,-1,0,-1
2,1,3,154,234,-1,-1,0,-1
2,1,3,115,315,-1,-1,0,-1
2,1,3,63,273,-1,-1,0,-1
2,1,3,137,345,-1,-1,0,-1
2,1,3,78,320,-1,-1,0,-1
2,1,3,144,329,-1,-1,0,-1
2,1,3,74,294,-1,-1,0,-1
2,1,3,118,338,-1,-1,0,-1
2,1,2,151,328,-1,-1,0,-1
2,1,3,160,258,-1,-1,0,-1
2,1,3,140,315,-1,-1,0,-1
2,1,3,163,339,-1,-1,0,-1
2,1,3,114,237,-1,-1,0,-1
2,1,2,162,293,-1,-1,0,-1
2,1,3,156,338,-1,-1,0,-1
2,1,3,79,343,-1,-1,0,-1
2,1,3,171,305,-1,-1,0,-1
2,1,3,146,287,-1,-1,0,-1
2,1,3,131,351,-1,-1,0,-1
2,1,3,143,352,-1,-1,0,-1
2,1,2,98,341,-1,-1,0,-1
2,1,2,163,326,-1,-1,0,-1
2,1,3,108,258,-1,-1,0,-1
2,1,3,124,238,-1,-1,0,-1
2,1,3,166,274,-1,-1,0,-1
2,1,3,123,360,-1,-1,0,-1
2,1,3,152,239,-1,-1,0,-1
2,1,3,77,316,-1,-1,0,-1
2,1,3,105,243,-1,-1,0,-1
2,1,3,169,349,-1,-1,0,-1
2,1,2,152,315,-1,-1,0,-1
2,1,3,145,234,-1,-1,0,-1
2,1,3,117,309,-1,-1,0,-1
2,1,3,105,301,-1,-1,0,-1
2,1,3,77,256,-1,-1,0,-1
2,1,3,136,363,-1,-1,0,-1
2,1,2,164,303,-1,-1,0,-1
2,1,3,102,284,-1,-1,0,-1
2,1,3,101,274,-1,-1,0,-1
2,1,3,146,299,-1,-1,0,-1
2,1,3,71,337,-1,-1,0,-1
2,1,3,138,239,-1,-1,0,-1
2,1,3,131,322,-1,-1,0,-1
2,1,3,83,305,-1,-1,0,-1
2,1,3,177,361,-1,-1,0,-1
2,1,3,138,359,-1,-1,0,-1
2,1,3,62,255,-1,-1,0,-1
2,1,2,103,252,-1,-1,0,-1
2,1,3,90,326,-1,-1,0,-1
2,1,3,58,278,-1,-1,0,-1
2,1,2,104,306,-1,-1,0,-1
2,1,3,127,247,-1,-1,0,-1
2,1,3,54,249,-1,-1,0,-1
2,1,3,120,256,-1,-1,0,-1
2,1,3,70,342,-1,-1,0,-1
2,1,2,143,307,-1,-1,0,-1
2,1,3,88,295,-1,-1,0,-1
2,1,3,166,290,-1,-1,0,-1
2,1,3,59,315,-1,-1,0,-1
2,1,3,127,317,-1,-1,0,-1
2,1,2,172,297,-1,-1,0,-1
2,1,2,113,277,-1,-1,0,-1
2,1,3,164,331,-1,-1,0,-1
2,1,3,95,301,-1,-1,0,-1
2,1,3,161,331,-1,-1,0,-1
2,1,2,64,237,-1,-1,0,-1
2,1,3,63,280,-1,-1,0,-1
2,1,2,106,350,-1,-1,0,-1
2,1,3,103,341,-1,-1,0,-1
2,1,3,125,356,-1,-1,0,-1
2,1,2,159,313,-1,-1,0,-1
2,1,3,169,251,-1,-1,0,-1
2,1,3,106,324,-1,-1,0,-1
2,1,3,179,312,-1,-1,0,-1
2,1,3,60,272,-1,-1,0,-1
2,1,3,164,340,-1,-1,0,-1
2,1,3,174,294,-1,-1,0,-1
2,1,3,63,276,-1,-1,0,-1
2,1,2,105,351,-1,-1,0,-1
2,1,3,115,273,-1,-1,0,-1
2,1,3,101,318,-1,-1,0,-1
2,1,3,73,355,-1,-1,0,-1
2,1,3,123,331,-1,-1,0,-1
2,1,3,151,264,-1,-1,0,-1
2,1,3,159,293,-1,-1,0,-1
2,1,2,112,290,-1,-1,0,-1
2,1,3,62,255,-1,-1,0,-1
2,1,3,140,346,-1,-1,0,-1
2,1,2,155,291,-1,-1,0,-1
2,1,3,63,340,-1,-1,0,-1
2,1,3,141,348,-1,-1,0,-1
2,1,3,56,300,-1,-1,0,-1
2,1,2,164,281,-1,-1,0,-1
