age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,3,117,305,678,-1,0,-1
2,1,3,173,231,645,-1,0,-1
2,1,3,170,210,583,-1,0,-1
2,1,2,132,219,-1,-1,0,-1
2,1,3,158,343,581,-1,0,-1
2,1,3,129,332,609,-1,0,-1
2,1,3,137,233,579,-1,0,-1
2,1,3,49,303,631,-1,0,-1
2,1,3,113,230,686,-1,0,-1
2,1,3,132,238,564,-1,0,-1
2,1,3,30,233,627,-1,0,-1
2,1,3,102,273,650,-1,0,-1
2,1,3,143,325,636,-1,0,-1
2,1,2,97,198,-1,-1,0,-1
2,1,3,80,320,612,-1,0,-1
2,1,3,109,212,661,-1,0,-1
2,1,2,18,337,-1,-1,0,-1
2,1,3,40,346,628,-1,0,-1
2,1,2,45,326,-1,-1,0,-1
2,1,3,46,317,570,-1,0,-1
2,1,3,74,202,652,-1,0,-1
2,1,3,150,273,674,-1,0,-1
2,1,3,87,322,592,-1,0,-1
2,1,2,121,283,-1,-1,0,-1
2,1,3,34,234,697,-1,0,-1
2,1,3,57,309,616,-1,0,-1
2,1,2,82,288,-1,-1,0,-1
2,1,3,155,347,633,-1,0,-1
2,1,3,16,284,680,-1,0,-1
2,1,2,63,296,-1,-1,0,-1
2,1,3,168,327,667,-1,0,-1
2,1,3,103,341,648,-1,0,-1
2,1,3,41,347,555,-1,0,-1
2,1,3,138,275,585,-1,0,-1
2,1,2,40,217,-1,-1,0,-1
2,1,3,174,287,555,-1,0,-1
2,1,2,74,266,-1,-1,0,-1
2,1,3,86,199,691,-1,0,-1
2,1,3,28,262,610,-1,0,-1
2,1,3,105,328,641,-1,0,-1
2,1,3,132,324,702,-1,0,-1
2,1,2,150,202,-1,-1,0,-1
2,1,3,136,236,572,-1,0,-1
2,1,3,134,238,612,-1,0,-1
2,1,3,114,228,565,-1,0,-1
2,1,2,136,240,-1,-1,0,-1
2,1,3,48,216,596,-1,0,-1
2,1,3,149,320,679,-1,0,-1
2,1,3,88,296,571,-1,0,-1
2,1,2,111,311,-1,-1,0,-1
2,1,2,29,225,-1,-1,0,-1
2,1,3,35,227,666,-1,0,-1
2,1,3,46,280,572,-1,0,-1
2,1,3,87,360,704,-1,0,-1
2,1,3,132,361,659,-1,0,-1
2,1,3,149,211,576,-1,0,-1
2,1,3,81,316,698,-1,0,-1
2,1,3,82,278,602,-1,0,-1
2,1,3,166,315,563,-1,0,-1
2,1,3,180,242,583,-1,0,-1
2,1,3,71,262,629,-1,0,-1
2,1,3,145,265,617,-1,0,-1
2,1,3,107,273,692,-1,0,-1
2,1,3,20,230,657,-1,0,-1
2,1,2,85,298,-1,-1,0,-1
2,1,3,73,203,694,-1,0,-1
2,1,3,62,354,565,-1,0,-1
2,1,3,156,258,557,-1,0,-1
2,1,2,179,210,-1,-1,0,-1
2,1,3,16,252,566,-1,0,-1
2,1,3,80,345,649,-1,0,-1
2,1,3,59,201,607,-1,0,-1
2,1,3,54,315,691,-1,0,-1
2,1,3,118,209,568,-1,0,-1
2,1,3,46,249,562,-1,0,-1
2,1,3,106,219,584,-1,0,-1
2,1,3,37,336,674,-1,0,-1
2,1,2,128,237,-1,-1,0,-1
2,1,2,152,273,-1,-1,0,-1
2,1,2,125,361,-1,-1,0,-1
2,1,2,96,265,-1,-1,0,-1
2,1,3,180,254,661,-1,0,-1
2,1,3,49,320,686,-1,0,-1
2,1,2,41,251,-1,-1,0,-1
2,1,3,77,286,685,-1,0,-1
2,1,3,76,258,593,-1,0,-1
2,1,3,90,295,680,-1,0,-1
2,1,3,112,316,660,-1,0,-1
2,1,3,128,330,693,-1,0,-1
2,1,3,24,291,573,-1,0,-1
2,1,3,160,258,680,-1,0,-1
2,1,3,168,281,584,-1,0,-1
2,1,3,99,205,687,-1,0,-1
2,1,3,29,236,630,-1,0,-1
