age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,88,278,-1,-1,0,-1
2,1,2,110,276,-1,-1,0,-1
2,1,2,146,304,-1,-1,0,-1
2,1,2,115,230,-1,-1,0,-1
2,1,2,151,323,-1,-1,0,-1
2,1,2,145,300,-1,-1,0,-1
2,1,2,106,296,-1,-1,0,-1
2,2,2,53,242,-1,-1,0,-1
2,1,2,75,311,-1,-1,0,-1
2,1,2,174,282,-1,-1,0,-1
2,1,2,150,269,-1,-1,0,-1
2,1,2,36,312,-1,-1,0,-1
2,1,2,88,359,-1,-1,0,-1
2,1,2,112,317,-1,-1,0,-1
2,1,2,156,268,-1,-1,0,-1
2,1,2,131,306,-1,-1,0,-1
2,1,2,139,227,-1,-1,0,-1
2,1,2,77,329,-1,-1,0,-1
2,1,2,46,340,-1,-1,0,-1
2,1,2,71,227,-1,-1,0,-1
2,1,2,63,349,-1,-1,0,-1
2,1,2,95,335,-1,-1,0,-1
2,1,2,82,311,-1,-1,0,-1
2,1,2,113,254,-1,-1,0,-1
2,1,2,111,235,-1,-1,0,-1
2,1,2,113,227,-1,-1,0,-1
2,1,2,82,326,-1,-1,0,-1
2,1,2,89,315,-1,-1,0,-1
2,1,2,36,230,-1,-1,0,-1
2,1,2,174,358,-1,-1,0,-1
2,1,2,120,351,-1,-1,0,-1
2,1,2,162,256,-1,-1,0,-1
2,1,2,172,226,-1,-1,0,-1
2,1,2,110,346,-1,-1,0,-1
2,1,2,149,330,-1,-1,0,-1
2,1,2,71,300,-1,-1,0,-1
2,1,2,126,296,-1,-1,0,-1
2,1,2,67,344,-1,-1,0,-1
2,1,2,136,220,-1,-1,0,-1
2,1,2,46,266,-1,-1,0,-1
2,1,2,40,348,-1,-1,0,-1
2,1,2,102,341,-1,-1,0,-1
2,1,2,44,329,-1,-1,0,-1
2,1,2,94,281,-1,-1,0,-1
2,1,2,87,276,-1,-1,0,-1
2,1,2,61,311,-1,-1,0,-1
2,1,2,136,285,-1,-1,0,-1
2,1,2,152,347,-1,-1,0,-1
2,1,2,159,256,-1,-1,0,-1
2,2,2,121,357,-1,-1,0,-1
2,2,2,177,339,-1,-1,0,-1
2,1,2,49,346,-1,-1,0,-1
2,1,2,173,301,-1,-1,0,-1
2,1,2,172,244,-1,-1,0,-1
2,1,2,160,229,-1,-1,0,-1
2,1,2,108,234,-1,-1,0,-1
2,1,2,54,301,-1,-1,0,-1
2,1,2,137,311,-1,-1,0,-1
