age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,101,311,-1,-1,0,-1
2,1,2,89,202,-1,-1,0,-1
2,1,2,111,346,-1,-1,0,-1
2,1,2,178,215,-1,-1,0,-1
2,1,3,40,298,871,-1,0,-1
2,1,2,115,267,-1,-1,0,-1
2,1,3,146,296,831,-1,0,-1
2,1,3,25,328,851,-1,0,-1
2,1,2,128,248,-1,-1,0,-1
2,1,2,142,293,-1,-1,0,-1
2,1,2,127,331,-1,-1,0,-1
2,1,2,54,304,-1,-1,0,-1
2,2,2,24,195,-1,-1,0,-1
2,1,3,181,355,862,-1,0,-1
2,1,2,136,237,-1,-1,0,-1
2,1,2,177,285,-1,-1,0,-1
2,1,2,179,359,-1,-1,0,-1
2,1,2,174,302,-1,-1,0,-1
2,1,2,61,352,-1,-1,0,-1
2,1,2,173,282,-1,-1,0,-1
2,1,2,158,202,-1,-1,0,-1
2,1,2,127,334,-1,-1,0,-1
2,1,2,45,292,-1,-1,0,-1
2,1,3,151,294,858,-1,0,-1
2,1,2,45,204,-1,-1,0,-1
2,1,2,66,268,-1,-1,0,-1
2,1,2,91,217,-1,-1,0,-1
2,1,2,180,349,-1,-1,0,-1
2,1,2,167,279,-1,-1,0,-1
2,1,2,67,322,-1,-1,0,-1
2,1,2,148,285,-1,-1,0,-1
2,1,2,67,358,-1,-1,0,-1
2,1,2,138,343,-1,-1,0,-1
2,1,2,144,236,-1,-1,0,-1
2,1,2,34,210,-1,-1,0,-1
2,1,2,95,295,-1,-1,0,-1
2,1,2,138,258,-1,-1,0,-1
2,1,2,58,289,-1,-1,0,-1
2,1,3,164,194,871,-1,0,-1
2,1,3,102,328,822,-1,0,-1
2,1,2,166,349,-1,-1,0,-1
2,1,2,104,278,-1,-1,0,-1
2,1,2,155,275,-1,-1,0,-1
2,1,2,37,213,-1,-1,0,-1
2,2,2,100,308,-1,-1,0,-1
2,1,2,40,222,-1,-1,0,-1
2,1,2,37,321,-1,-1,0,-1
2,1,3,67,330,886,-1,0,-1
2,2,2,93,229,-1,-1,0,-1
2,1,2,27,206,-1,-1,0,-1
2,1,2,98,301,-1,-1,0,-1
2,1,3,120,223,886,-1,0,-1
2,1,2,172,321,-1,-1,0,-1
2,1,2,135,359,-1,-1,0,-1
2,1,3,68,355,836,-1,0,-1
2,1,3,70,199,881,-1,0,-1
2,1,2,23,200,-1,-1,0,-1
2,1,2,138,226,-1,-1,0,-1
2,1,3,10,214,826,-1,0,-1
2,1,2,54,249,-1,-1,0,-1
2,1,2,95,199,-1,-1,0,-1
2,1,2,167,278,-1,-1,0,-1
2,1,2,149,303,-1,-1,0,-1
2,1,2,54,229,-1,-1,0,-1
2,1,2,132,253,-1,-1,0,-1
2,2,2,128,258,-1,-1,0,-1
2,1,2,171,287,-1,-1,0,-1
2,2,2,43,275,-1,-1,0,-1
2,1,2,49,355,-1,-1,0,-1
2,1,3,93,198,869,-1,0,-1
2,1,2,155,233,-1,-1,0,-1
2,1,2,129,245,-1,-1,0,-1
2,2,2,77,272,-1,-1,0,-1
2,1,2,101,349,-1,-1,0,-1
2,1,3,13,275,823,-1,0,-1
2,1,2,157,278,-1,-1,0,-1
2,1,3,38,305,862,-1,0,-1
2,1,2,69,332,-1,-1,0,-1
2,1,2,94,309,-1,-1,0,-1
2,1,2,32,234,-1,-1,0,-1
2,1,2,46,346,-1,-1,0,-1
2,1,2,129,226,-1,-1,0,-1
2,1,2,123,311,-1,-1,0,-1
2,1,2,71,323,-1,-1,0,-1
2,1,2,22,238,-1,-1,0,-1
2,1,2,55,225,-1,-1,0,-1
2,1,2,20,315,-1,-1,0,-1
2,1,2,20,292,-1,-1,0,-1
2,1,2,167,344,-1,-1,0,-1
2,2,2,33,222,-1,-1,0,-1
2,1,2,121,292,-1,-1,0,-1
2,1,3,59,298,869,-1,0,-1
2,1,3,83,202,844,-1,0,-1
2,1,2,16,223,-1,-1,0,-1
2,1,2,141,326,-1,-1,0,-1
2,1,3,150,329,873,-1,0,-1
2,1,2,108,216,-1,-1,0,-1
2,2,2,20,311,-1,-1,0,-1
2,1,2,178,336,-1,-1,0,-1
2,1,2,42,255,-1,-1,0,-1
2,1,2,109,358,-1,-1,0,-1
2,1,2,49,291,-1,-1,0,-1
2,1,2,154,311,-1,-1,0,-1
2,1,2,160,358,-1,-1,0,-1
2,1,2,69,240,-1,-1,0,-1
2,1,2,33,311,-1,-1,0,-1
2,2,2,67,247,-1,-1,0,-1
2,1,3,64,193,829,-1,0,-1
2,1,2,116,257,-1,-1,0,-1
2,1,3,126,328,851,-1,0,-1
2,1,3,138,246,855,-1,0,-1
2,1,2,118,253,-1,-1,0,-1
2,1,2,68,336,-1,-1,0,-1
2,1,2,97,334,-1,-1,0,-1
2,1,2,55,337,-1,-1,0,-1
2,1,2,128,353,-1,-1,0,-1
2,1,2,100,211,-1,-1,0,-1
2,1,2,158,313,-1,-1,0,-1
2,1,2,46,232,-1,-1,0,-1
2,2,2,82,270,-1,-1,0,-1
2,1,2,11,307,-1,-1,0,-1
2,1,2,134,301,-1,-1,0,-1
2,1,2,52,193,-1,-1,0,-1
2,2,2,151,285,-1,-1,0,-1
2,1,2,57,256,-1,-1,0,-1
2,1,2,84,202,-1,-1,0,-1
2,1,2,180,294,-1,-1,0,-1
2,1,2,171,276,-1,-1,0,-1
2,1,2,127,283,-1,-1,0,-1
2,1,2,28,282,-1,-1,0,-1
2,1,2,178,271,-1,-1,0,-1
2,1,3,156,206,872,-1,0,-1
2,1,2,57,227,-1,-1,0,-1
2,1,2,49,327,-1,-1,0,-1
2,1,3,12,351,873,-1,0,-1
2,1,2,142,308,-1,-1,0,-1
2,1,2,177,342,-1,-1,0,-1
2,1,3,34,351,884,-1,0,-1
2,1,2,120,299,-1,-1,0,-1
2,1,2,45,219,-1,-1,0,-1
2,1,2,110,223,-1,-1,0,-1
2,1,3,63,347,841,-1,0,-1
2,1,2,72,193,-1,-1,0,-1
2,1,2,168,296,-1,-1,0,-1
2,1,2,61,225,-1,-1,0,-1
2,1,2,79,272,-1,-1,0,-1
2,1,2,109,249,-1,-1,0,-1
2,1,2,23,290,-1,-1,0,-1
2,1,2,27,344,-1,-1,0,-1
2,1,2,52,310,-1,-1,0,-1
2,1,2,42,278,-1,-1,0,-1
2,1,2,91,313,-1,-1,0,-1
2,1,2,69,203,-1,-1,0,-1
2,1,2,166,348,-1,-1,0,-1
2,1,2,30,323,-1,-1,0,-1
2,1,2,55,246,-1,-1,0,-1
2,1,2,136,332,-1,-1,0,-1
2,1,3,127,238,848,-1,0,-1
2,1,2,142,216,-1,-1,0,-1
2,1,2,129,221,-1,-1,0,-1
2,1,2,94,201,-1,-1,0,-1
2,1,2,172,262,-1,-1,0,-1
2,1,2,114,244,-1,-1,0,-1
2,1,2,72,262,-1,-1,0,-1
2,1,2,167,195,-1,-1,0,-1
2,1,2,60,294,-1,-1,0,-1
2,1,2,165,247,-1,-1,0,-1
2,1,2,67,299,-1,-1,0,-1
2,1,2,103,285,-1,-1,0,-1
2,1,2,55,232,-1,-1,0,-1
2,1,2,57,302,-1,-1,0,-1
2,1,2,164,346,-1,-1,0,-1
2,1,3,18,194,868,-1,0,-1
2,1,2,132,233,-1,-1,0,-1
2,2,2,169,223,-1,-1,0,-1
2,1,2,138,194,-1,-1,0,-1
2,1,2,25,355,-1,-1,0,-1
2,1,2,20,237,-1,-1,0,-1
2,1,2,49,252,-1,-1,0,-1
2,1,3,128,335,847,-1,0,-1
2,1,2,49,286,-1,-1,0,-1
