age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,92,268,-1,-1,0,-1
2,1,2,45,284,-1,-1,0,-1
2,2,2,58,287,-1,-1,0,-1
2,1,2,37,292,-1,-1,0,-1
2,1,2,140,298,-1,-1,0,-1
2,1,2,102,254,-1,-1,0,-1
2,1,2,42,239,-1,-1,0,-1
2,1,2,118,335,-1,-1,0,-1
2,1,2,56,329,-1,-1,0,-1
2,1,2,84,243,-1,-1,0,-1
2,1,2,101,301,-1,-1,0,-1
2,1,2,146,270,-1,-1,0,-1
2,1,2,96,290,-1,-1,0,-1
2,1,2,106,286,-1,-1,0,-1
2,1,2,127,256,-1,-1,0,-1
2,1,2,66,331,-1,-1,0,-1
2,1,2,138,339,-1,-1,0,-1
2,1,2,111,261,-1,-1,0,-1
2,1,2,67,334,-1,-1,0,-1
2,1,2,144,226,-1,-1,0,-1
2,1,2,132,352,-1,-1,0,-1
2,1,2,44,341,-1,-1,0,-1
2,1,2,142,298,-1,-1,0,-1
2,1,2,134,332,-1,-1,0,-1
2,1,2,51,294,-1,-1,0,-1
2,1,2,94,314,-1,-1,0,-1
2,1,2,147,319,-1,-1,0,-1
2,1,2,118,310,-1,-1,0,-1
2,1,2,44,283,-1,-1,0,-1
2,1,2,35,311,-1,-1,0,-1
2,1,2,160,310,-1,-1,0,-1
2,1,2,139,222,-1,-1,0,-1
2,1,2,61,354,-1,-1,0,-1
2,1,2,129,306,-1,-1,0,-1
2,1,2,165,220,-1,-1,0,-1
2,1,2,142,297,-1,-1,0,-1
2,1,2,87,320,-1,-1,0,-1
2,1,2,119,330,-1,-1,0,-1
2,1,2,173,343,-1,-1,0,-1
2,1,2,55,261,-1,-1,0,-1
2,1,2,85,218,-1,-1,0,-1
2,1,2,112,359,-1,-1,0,-1
2,1,2,50,295,-1,-1,0,-1
2,1,2,110,233,-1,-1,0,-1
2,1,2,122,252,-1,-1,0,-1
2,1,2,40,285,-1,-1,0,-1
2,1,2,98,248,-1,-1,0,-1
2,1,2,175,355,-1,-1,0,-1
2,1,2,112,297,-1,-1,0,-1
2,1,2,43,311,-1,-1,0,-1
2,1,2,170,304,-1,-1,0,-1
2,1,2,92,286,-1,-1,0,-1
2,1,2,86,273,-1,-1,0,-1
2,1,2,164,273,-1,-1,0,-1
2,1,2,147,330,-1,-1,0,-1
2,1,2,59,286,-1,-1,0,-1
2,2,2,167,285,-1,-1,0,-1
2,1,2,165,278,-1,-1,0,-1
2,1,2,131,354,-1,-1,0,-1
2,1,2,107,284,-1,-1,0,-1
2,1,2,158,321,-1,-1,0,-1
2,1,2,51,343,-1,-1,0,-1
2,1,2,37,355,-1,-1,0,-1
2,1,2,150,254,-1,-1,0,-1
2,1,2,135,258,-1,-1,0,-1
2,1,2,119,293,-1,-1,0,-1
2,1,2,164,338,-1,-1,0,-1
2,1,2,147,241,-1,-1,0,-1
2,1,2,120,307,-1,-1,0,-1
2,1,2,76,356,-1,-1,0,-1
2,1,2,83,301,-1,-1,0,-1
2,1,2,53,291,-1,-1,0,-1
2,1,2,54,320,-1,-1,0,-1
2,1,2,88,332,-1,-1,0,-1
2,2,2,163,298,-1,-1,0,-1
2,1,2,90,222,-1,-1,0,-1
2,1,2,128,231,-1,-1,0,-1
2,1,2,165,322,-1,-1,0,-1
2,1,2,71,281,-1,-1,0,-1
2,1,2,138,258,-1,-1,0,-1
2,1,2,34,300,-1,-1,0,-1
2,1,2,107,265,-1,-1,0,-1
2,1,2,129,223,-1,-1,0,-1
2,1,2,138,219,-1,-1,0,-1
2,1,2,139,283,-1,-1,0,-1
2,1,2,41,363,-1,-1,0,-1
2,1,2,37,312,-1,-1,0,-1
2,1,2,81,353,-1,-1,0,-1
2,1,2,74,270,-1,-1,0,-1
2,1,2,45,349,-1,-1,0,-1
2,1,2,180,244,-1,-1,0,-1
2,1,2,145,328,-1,-1,0,-1
2,1,2,76,324,-1,-1,0,-1
2,1,2,82,307,-1,-1,0,-1
2,1,2,160,248,-1,-1,0,-1
2,1,2,96,361,-1,-1,0,-1
2,1,2,120,289,-1,-1,0,-1
