age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,158,281,-1,-1,0,-1
2,1,2,92,350,-1,-1,0,-1
2,1,2,134,250,-1,-1,0,-1
2,1,2,53,284,-1,-1,0,-1
2,1,2,178,310,-1,-1,0,-1
2,1,2,162,255,-1,-1,0,-1
2,1,2,126,271,-1,-1,0,-1
2,1,2,68,352,-1,-1,0,-1
2,1,2,62,339,-1,-1,0,-1
2,1,2,157,311,-1,-1,0,-1
2,1,2,50,268,-1,-1,0,-1
2,1,2,120,246,-1,-1,0,-1
2,1,2,78,322,-1,-1,0,-1
2,1,2,61,286,-1,-1,0,-1
2,1,2,176,349,-1,-1,0,-1
2,1,2,43,290,-1,-1,0,-1
2,1,2,138,356,-1,-1,0,-1
2,1,2,143,296,-1,-1,0,-1
2,1,2,35,261,-1,-1,0,-1
2,1,2,116,269,-1,-1,0,-1
2,1,2,78,297,-1,-1,0,-1
2,1,2,97,231,-1,-1,0,-1
2,1,2,84,356,-1,-1,0,-1
2,1,2,86,313,-1,-1,0,-1
2,1,2,175,222,-1,-1,0,-1
2,1,2,91,251,-1,-1,0,-1
2,1,2,150,231,-1,-1,0,-1
2,1,2,169,359,-1,-1,0,-1
2,1,2,65,342,-1,-1,0,-1
2,1,2,43,357,-1,-1,0,-1
2,1,2,76,322,-1,-1,0,-1
2,1,2,135,311,-1,-1,0,-1
2,1,2,138,300,-1,-1,0,-1
2,1,2,114,301,-1,-1,0,-1
2,1,2,127,341,-1,-1,0,-1
2,1,2,82,274,-1,-1,0,-1
2,1,2,96,296,-1,-1,0,-1
2,1,2,152,356,-1,-1,0,-1
2,1,2,112,266,-1,-1,0,-1
2,1,2,74,237,-1,-1,0,-1
2,1,2,121,292,-1,-1,0,-1
2,1,2,166,285,-1,-1,0,-1
2,1,2,178,231,-1,-1,0,-1
2,1,2,104,324,-1,-1,0,-1
2,1,2,91,324,-1,-1,0,-1
2,1,2,93,313,-1,-1,0,-1
2,1,2,177,262,-1,-1,0,-1
2,1,2,102,271,-1,-1,0,-1
2,1,2,149,324,-1,-1,0,-1
2,1,2,165,287,-1,-1,0,-1
2,1,2,36,271,-1,-1,0,-1
2,1,2,141,245,-1,-1,0,-1
2,1,2,57,271,-1,-1,0,-1
2,1,2,171,328,-1,-1,0,-1
2,1,2,173,249,-1,-1,0,-1
2,1,2,54,265,-1,-1,0,-1
2,1,2,83,257,-1,-1,0,-1
2,2,2,122,232,-1,-1,0,-1
2,1,2,54,252,-1,-1,0,-1
2,1,2,109,285,-1,-1,0,-1
2,1,2,141,325,-1,-1,0,-1
2,1,2,148,311,-1,-1,0,-1
2,1,2,162,288,-1,-1,0,-1
2,1,2,123,230,-1,-1,0,-1
2,1,2,112,297,-1,-1,0,-1
2,1,2,146,350,-1,-1,0,-1
