age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,134,320,-1,-1,0,-1
2,1,2,45,246,-1,-1,0,-1
2,1,2,50,231,-1,-1,0,-1
2,1,2,141,356,-1,-1,0,-1
2,1,2,138,261,-1,-1,0,-1
2,1,2,61,356,-1,-1,0,-1
2,1,2,125,363,-1,-1,0,-1
2,1,2,169,275,-1,-1,0,-1
2,1,2,109,350,-1,-1,0,-1
2,2,2,116,255,-1,-1,0,-1
2,1,2,98,362,-1,-1,0,-1
2,1,2,35,310,-1,-1,0,-1
2,1,2,158,241,-1,-1,0,-1
2,1,2,165,250,-1,-1,0,-1
2,1,2,86,359,-1,-1,0,-1
2,1,2,79,270,-1,-1,0,-1
2,1,2,139,219,-1,-1,0,-1
2,1,2,170,333,-1,-1,0,-1
2,1,2,96,304,-1,-1,0,-1
2,1,2,39,346,-1,-1,0,-1
2,1,2,121,351,-1,-1,0,-1
2,1,2,35,214,-1,-1,0,-1
2,1,2,107,226,-1,-1,0,-1
2,1,2,53,331,-1,-1,0,-1
2,1,2,144,219,-1,-1,0,-1
2,1,2,48,294,-1,-1,0,-1
2,1,2,177,317,-1,-1,0,-1
2,1,2,131,283,-1,-1,0,-1
2,1,2,108,351,-1,-1,0,-1
2,1,2,39,286,-1,-1,0,-1
2,1,2,179,250,-1,-1,0,-1
2,1,2,45,286,-1,-1,0,-1
2,1,2,38,255,-1,-1,0,-1
2,1,2,178,251,-1,-1,0,-1
2,1,2,145,277,-1,-1,0,-1
2,1,2,160,296,-1,-1,0,-1
2,1,2,46,279,-1,-1,0,-1
2,1,2,172,238,-1,-1,0,-1
2,1,2,89,319,-1,-1,0,-1
2,2,2,79,218,-1,-1,0,-1
2,1,2,166,346,-1,-1,0,-1
2,1,2,179,275,-1,-1,0,-1
2,1,2,55,266,-1,-1,0,-1
2,1,2,117,282,-1,-1,0,-1
2,3,2,50,230,-1,-1,0,-1
2,1,2,110,324,-1,-1,0,-1
