age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,124,325,-1,-1,0,-1
2,1,2,172,332,-1,-1,0,-1
2,1,2,140,315,-1,-1,0,-1
2,1,2,123,303,-1,-1,0,-1
2,1,2,150,358,-1,-1,0,-1
2,1,2,147,324,-1,-1,0,-1
2,1,2,164,360,-1,-1,0,-1
2,1,2,157,344,-1,-1,0,-1
2,1,2,170,315,-1,-1,0,-1
2,1,2,124,353,-1,-1,0,-1
2,1,2,159,320,-1,-1,0,-1
2,1,2,159,361,-1,-1,0,-1
2,1,2,139,334,-1,-1,0,-1
2,1,2,132,310,-1,-1,0,-1
2,1,2,153,316,-1,-1,0,-1
2,1,2,136,325,-1,-1,0,-1
2,1,2,164,339,-1,-1,0,-1
2,1,2,165,320,-1,-1,0,-1
2,1,2,119,329,-1,-1,0,-1
2,1,2,147,355,-1,-1,0,-1
2,1,2,164,306,-1,-1,0,-1
2,1,2,154,336,-1,-1,0,-1
2,1,2,116,356,-1,-1,0,-1
2,1,2,166,355,-1,-1,0,-1
2,1,2,171,318,-1,-1,0,-1
2,1,2,111,328,-1,-1,0,-1
2,1,2,134,298,-1,-1,0,-1
2,1,2,153,297,-1,-1,0,-1
2,1,2,148,345,-1,-1,0,-1
2,1,2,170,347,-1,-1,0,-1
2,1,2,135,360,-1,-1,0,-1
2,1,2,133,323,-1,-1,0,-1
2,1,2,157,295,-1,-1,0,-1
2,1,2,169,318,-1,-1,0,-1
2,1,2,136,299,-1,-1,0,-1
2,1,2,113,351,-1,-1,0,-1
2,1,2,118,359,-1,-1,0,-1
2,1,2,132,356,-1,-1,0,-1
2,1,2,174,358,-1,-1,0,-1
2,1,2,166,302,-1,-1,0,-1
2,1,2,148,325,-1,-1,0,-1
2,1,2,130,323,-1,-1,0,-1
2,1,2,169,318,-1,-1,0,-1
2,1,2,137,360,-1,-1,0,-1
2,1,2,136,347,-1,-1,0,-1
2,1,2,120,335,-1,-1,0,-1
2,1,2,117,344,-1,-1,0,-1
2,1,2,128,313,-1,-1,0,-1
2,1,2,125,312,-1,-1,0,-1
2,1,2,164,361,-1,-1,0,-1
2,1,2,128,306,-1,-1,0,-1
2,1,2,152,307,-1,-1,0,-1
2,1,2,146,345,-1,-1,0,-1
2,1,2,131,346,-1,-1,0,-1
2,1,2,175,345,-1,-1,0,-1
2,1,2,160,333,-1,-1,0,-1
2,1,2,114,336,-1,-1,0,-1
2,1,2,147,306,-1,-1,0,-1
2,1,2,155,353,-1,-1,0,-1
2,1,2,161,340,-1,-1,0,-1
2,1,2,111,333,-1,-1,0,-1
2,1,2,136,335,-1,-1,0,-1
2,1,2,158,338,-1,-1,0,-1
2,1,2,123,344,-1,-1,0,-1
2,1,2,167,347,-1,-1,0,-1
2,1,2,123,345,-1,-1,0,-1
3,1,2,114,330,-1,-1,0,-1
3,1,2,147,294,-1,-1,0,-1
3,1,2,126,330,-1,-1,0,-1
3,1,2,173,338,-1,-1,0,-1
3,1,2,178,351,-1,-1,0,-1
3,1,2,122,311,-1,-1,0,-1
3,1,2,144,323,-1,-1,0,-1
3,1,2,155,343,-1,-1,0,-1
3,1,2,145,360,-1,-1,0,-1
3,1,2,140,292,-1,-1,0,-1
3,1,2,138,339,-1,-1,0,-1
3,1,2,151,361,-1,-1,0,-1
3,1,2,119,319,-1,-1,0,-1
3,1,2,118,322,-1,-1,0,-1
3,1,2,142,333,-1,-1,0,-1
3,1,2,126,314,-1,-1,0,-1
3,1,2,176,311,-1,-1,0,-1
3,1,2,155,332,-1,-1,0,-1
3,1,2,171,335,-1,-1,0,-1
3,1,2,136,347,-1,-1,0,-1
3,1,2,117,361,-1,-1,0,-1
3,1,2,128,361,-1,-1,0,-1
3,1,2,160,323,-1,-1,0,-1
3,1,2,134,362,-1,-1,0,-1
3,1,2,171,332,-1,-1,0,-1
3,1,2,125,299,-1,-1,0,-1
3,1,2,119,362,-1,-1,0,-1
3,1,2,112,300,-1,-1,0,-1
3,1,2,161,297,-1,-1,0,-1
3,1,2,147,309,-1,-1,0,-1
3,1,2,170,335,-1,-1,0,-1
3,1,2,139,345,-1,-1,0,-1
3,1,2,149,326,-1,-1,0,-1
3,1,2,179,362,-1,-1,0,-1
3,1,2,174,324,-1,-1,0,-1
3,1,2,123,342,-1,-1,0,-1
3,1,2,162,329,-1,-1,0,-1
3,1,2,149,315,-1,-1,0,-1
4,1,2,172,305,-1,-1,0,-1
4,1,2,161,349,-1,-1,0,-1
4,1,2,177,339,-1,-1,0,-1
4,1,2,131,304,-1,-1,0,-1
4,1,2,168,349,-1,-1,0,-1
4,1,2,114,342,-1,-1,0,-1
4,1,2,159,363,-1,-1,0,-1
4,1,2,165,343,-1,-1,0,-1
4,1,2,180,341,-1,-1,0,-1
4,1,2,174,292,-1,-1,0,-1
4,1,2,111,302,-1,-1,0,-1
4,1,2,131,344,-1,-1,0,-1
4,1,2,126,300,-1,-1,0,-1
4,1,2,145,353,-1,-1,0,-1
4,1,2,146,344,-1,-1,0,-1
4,1,2,179,294,-1,-1,0,-1
4,1,2,152,305,-1,-1,0,-1
4,1,2,152,304,-1,-1,0,-1
4,1,2,176,336,-1,-1,0,-1
4,1,2,167,332,-1,-1,0,-1
4,1,2,180,337,-1,-1,0,-1
4,1,2,140,304,-1,-1,0,-1
4,1,2,168,361,-1,-1,0,-1
4,1,2,125,328,-1,-1,0,-1
4,1,2,131,312,-1,-1,0,-1
4,1,2,159,355,-1,-1,0,-1
4,1,2,148,307,-1,-1,0,-1
4,1,2,150,338,-1,-1,0,-1
4,1,2,174,297,-1,-1,0,-1
4,1,2,169,323,-1,-1,0,-1
4,1,2,171,301,-1,-1,0,-1
4,1,2,118,300,-1,-1,0,-1
4,1,2,168,344,-1,-1,0,-1
4,1,2,171,330,-1,-1,0,-1
4,1,2,129,336,-1,-1,0,-1
4,1,2,130,348,-1,-1,0,-1
4,1,2,158,353,-1,-1,0,-1
5,1,2,118,318,-1,-1,0,-1
5,1,2,114,323,-1,-1,0,-1
5,1,2,134,357,-1,-1,0,-1
5,1,2,149,353,-1,-1,0,-1
5,1,2,114,317,-1,-1,0,-1
5,1,2,112,335,-1,-1,0,-1
5,1,2,127,302,-1,-1,0,-1
5,1,2,159,310,-1,-1,0,-1
5,1,2,135,299,-1,-1,0,-1
5,1,2,181,293,-1,-1,0,-1
5,1,2,141,295,-1,-1,0,-1
5,1,2,168,323,-1,-1,0,-1
5,1,2,136,362,-1,-1,0,-1
5,1,2,138,318,-1,-1,0,-1
5,1,2,136,362,-1,-1,0,-1
5,1,2,173,353,-1,-1,0,-1
5,1,2,120,303,-1,-1,0,-1
5,1,2,164,318,-1,-1,0,-1
5,1,2,179,343,-1,-1,0,-1
5,1,2,110,306,-1,-1,0,-1
5,1,2,146,302,-1,-1,0,-1
5,1,2,151,348,-1,-1,0,-1
5,1,2,168,337,-1,-1,0,-1
5,1,2,159,324,-1,-1,0,-1
5,1,2,128,302,-1,-1,0,-1
