age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,131,353,-1,-1,0,-1
2,1,2,44,328,-1,-1,0,-1
2,1,2,61,244,-1,-1,0,-1
2,1,2,39,328,-1,-1,0,-1
2,1,2,102,359,-1,-1,0,-1
2,1,2,113,328,-1,-1,0,-1
2,1,2,98,208,-1,-1,0,-1
2,1,2,120,208,-1,-1,0,-1
2,1,2,138,336,-1,-1,0,-1
2,1,2,83,358,-1,-1,0,-1
2,1,2,132,238,-1,-1,0,-1
2,1,2,167,342,-1,-1,0,-1
2,1,2,62,270,-1,-1,0,-1
2,1,2,34,259,-1,-1,0,-1
2,1,2,33,319,-1,-1,0,-1
2,1,2,90,270,-1,-1,0,-1
2,1,2,84,326,-1,-1,0,-1
2,1,2,180,221,-1,-1,0,-1
2,1,2,144,224,-1,-1,0,-1
2,1,2,54,278,-1,-1,0,-1
2,1,2,171,346,-1,-1,0,-1
2,1,2,79,348,-1,-1,0,-1
2,1,2,21,304,-1,-1,0,-1
2,1,2,72,242,-1,-1,0,-1
2,1,2,126,296,-1,-1,0,-1
2,1,2,39,202,-1,-1,0,-1
2,1,2,33,220,-1,-1,0,-1
2,1,2,101,203,-1,-1,0,-1
2,1,2,64,350,-1,-1,0,-1
2,1,2,39,330,-1,-1,0,-1
2,1,2,75,200,-1,-1,0,-1
2,1,2,51,199,-1,-1,0,-1
2,1,2,140,206,-1,-1,0,-1
2,1,2,107,302,-1,-1,0,-1
2,1,2,29,353,-1,-1,0,-1
2,1,2,93,280,-1,-1,0,-1
2,1,2,94,232,-1,-1,0,-1
2,1,2,133,238,-1,-1,0,-1
2,1,2,52,324,-1,-1,0,-1
2,1,2,166,252,-1,-1,0,-1
2,1,2,103,241,-1,-1,0,-1
2,1,2,176,331,-1,-1,0,-1
2,1,2,58,292,-1,-1,0,-1
2,1,2,153,262,-1,-1,0,-1
2,1,2,152,244,-1,-1,0,-1
2,1,2,21,239,-1,-1,0,-1
2,1,2,77,246,-1,-1,0,-1
2,1,2,89,354,-1,-1,0,-1
2,1,2,143,345,-1,-1,0,-1
2,1,2,59,218,-1,-1,0,-1
2,1,2,137,242,-1,-1,0,-1
2,1,2,75,253,-1,-1,0,-1
2,1,2,80,355,-1,-1,0,-1
2,1,2,22,272,-1,-1,0,-1
2,1,2,137,237,-1,-1,0,-1
2,1,2,81,272,-1,-1,0,-1
2,1,2,162,266,-1,-1,0,-1
2,1,2,65,295,-1,-1,0,-1
2,1,2,130,339,-1,-1,0,-1
2,1,2,122,303,-1,-1,0,-1
2,1,2,181,355,-1,-1,0,-1
2,1,2,162,237,-1,-1,0,-1
2,1,2,148,214,-1,-1,0,-1
2,1,2,96,299,-1,-1,0,-1
2,1,2,114,328,-1,-1,0,-1
2,1,2,156,322,-1,-1,0,-1
2,1,2,138,257,-1,-1,0,-1
2,1,2,149,358,-1,-1,0,-1
2,1,2,150,363,-1,-1,0,-1
2,1,2,143,277,-1,-1,0,-1
2,1,2,96,310,-1,-1,0,-1
2,1,2,94,316,-1,-1,0,-1
2,1,2,85,259,-1,-1,0,-1
2,1,2,127,217,-1,-1,0,-1
2,1,2,18,340,-1,-1,0,-1
2,1,2,55,224,-1,-1,0,-1
2,1,2,21,351,-1,-1,0,-1
2,1,2,62,349,-1,-1,0,-1
2,1,2,64,245,-1,-1,0,-1
2,1,2,22,256,-1,-1,0,-1
2,1,2,128,347,-1,-1,0,-1
2,1,2,117,363,-1,-1,0,-1
2,1,2,47,256,-1,-1,0,-1
2,1,2,135,281,-1,-1,0,-1
2,1,2,86,298,-1,-1,0,-1
2,1,2,21,240,-1,-1,0,-1
2,1,2,98,280,-1,-1,0,-1
2,1,2,36,325,-1,-1,0,-1
2,1,2,37,224,-1,-1,0,-1
2,1,2,134,218,-1,-1,0,-1
2,1,2,76,215,-1,-1,0,-1
2,1,2,19,340,-1,-1,0,-1
2,1,2,140,251,-1,-1,0,-1
2,1,2,138,250,-1,-1,0,-1
2,1,2,96,217,-1,-1,0,-1
2,1,2,149,295,-1,-1,0,-1
2,1,2,103,278,-1,-1,0,-1
2,1,2,54,230,-1,-1,0,-1
2,1,2,106,358,-1,-1,0,-1
2,1,2,136,353,-1,-1,0,-1
2,1,2,158,228,-1,-1,0,-1
2,1,2,114,343,-1,-1,0,-1
2,1,2,88,306,-1,-1,0,-1
2,1,2,147,341,-1,-1,0,-1
2,1,2,60,362,-1,-1,0,-1
2,1,2,161,294,-1,-1,0,-1
2,1,2,105,333,-1,-1,0,-1
2,1,2,174,277,-1,-1,0,-1
2,1,2,125,226,-1,-1,0,-1
2,1,2,132,234,-1,-1,0,-1
2,1,2,177,323,-1,-1,0,-1
2,1,2,159,346,-1,-1,0,-1
2,1,2,137,229,-1,-1,0,-1
2,1,2,20,334,-1,-1,0,-1
2,1,2,160,297,-1,-1,0,-1
2,1,2,88,234,-1,-1,0,-1
2,1,2,68,315,-1,-1,0,-1
2,1,2,88,323,-1,-1,0,-1
2,1,2,80,336,-1,-1,0,-1
2,1,2,109,345,-1,-1,0,-1
2,1,2,155,267,-1,-1,0,-1
2,1,2,32,271,-1,-1,0,-1
2,1,2,169,279,-1,-1,0,-1
